Umid,TempDHT,Press,Tempbmp,Altitud,TempMedia,Dt,Tempo
50,22,990.40,23.30,-169.36,22.65,592,3222
50,22,990.40,23.30,-169.36,22.65,593,4347
50,22,990.39,23.30,-169.33,22.65,594,5743
50,22,990.39,23.30,-169.33,22.65,595,6868
50,22,990.39,23.30,-169.33,22.65,597,8264
50,22,990.40,23.30,-169.35,22.65,598,9389
50,22,990.39,23.30,-169.32,22.65,599,10784
50,22,990.39,23.30,-169.32,22.65,600,11911
50,22,990.39,23.30,-169.32,22.65,602,13308
50,22,990.39,23.30,-169.30,22.65,603,14434
50,22,990.39,23.30,-169.31,22.65,604,15832
50,22,990.39,23.30,-169.27,22.65,605,16957
50,22,990.39,23.30,-169.31,22.65,607,18354
50,22,990.39,23.30,-169.27,22.65,608,19480
50,22,990.39,23.30,-169.29,22.65,609,20877
50,22,990.39,23.31,-169.27,22.65,610,22002
50,22,990.38,23.31,-169.25,22.65,612,23400
50,22,990.38,23.31,-169.23,22.65,613,24525
50,22,990.38,23.31,-169.23,22.65,614,25922
50,22,990.38,23.31,-169.22,22.65,615,27048
50,22,990.38,23.31,-169.22,22.65,617,28445
50,22,990.38,23.31,-169.22,22.65,618,29571
50,22,990.38,23.31,-169.21,22.65,619,30968
50,22,990.38,23.31,-169.19,22.65,620,32094
50,22,990.38,23.31,-169.21,22.65,622,-32046
50,22,990.38,23.31,-169.25,22.65,623,-30918
50,22,990.38,23.31,-169.22,22.65,624,-29520
50,22,990.38,23.31,-169.22,22.65,626,-28393
50,22,990.38,23.32,-169.24,22.66,627,-26994
50,22,990.38,23.32,-169.24,22.66,628,-25868
50,22,990.38,23.32,-169.22,22.66,629,-24469
50,22,990.38,23.32,-169.24,22.66,631,-23343
50,22,990.39,23.32,-169.26,22.66,632,-21945
50,22,990.39,23.32,-169.28,22.66,633,-20817
50,22,990.39,23.32,-169.28,22.66,634,-19420
50,22,990.39,23.32,-169.31,22.66,636,-18292
50,22,990.38,23.32,-169.24,22.66,637,-16893
50,22,990.38,23.32,-169.21,22.66,638,-15767
50,22,990.38,23.32,-169.19,22.66,640,-14368
50,22,990.38,23.32,-169.17,22.66,641,-13242
50,22,990.37,23.32,-169.13,22.66,642,-11844
50,22,990.37,23.32,-169.15,22.66,643,-10717
50,22,990.37,23.32,-169.15,22.66,645,-9319
50,22,990.38,23.33,-169.18,22.67,646,-8192
50,22,990.37,23.33,-169.15,22.67,647,-6795
50,22,990.37,23.33,-169.15,22.67,648,-5669
50,22,990.37,23.33,-169.16,22.67,650,-4273
50,22,990.37,23.33,-169.14,22.67,651,-3146
50,22,990.37,23.33,-169.14,22.67,652,-1748
50,22,990.38,23.33,-169.18,22.67,653,-623
50,22,990.38,23.33,-169.18,22.67,655,774
50,22,990.38,23.33,-169.18,22.67,656,1897
50,22,990.38,23.33,-169.21,22.67,657,3293
50,22,990.38,23.33,-169.20,22.67,658,4418
